frame.number,eth.src,eth.dst,frame.len,rel_time,primary
1,105927195770177.00,211811468.00,84,0,0
2,105927195770177.00,211811468.00,89,0.000242,0
3,105927195770177.00,211811468.00,89,0.000147,0
4,247033387452659.00,105927195770177.00,170,0.001557,0
5,247033387452659.00,105927195770177.00,175,0.000315,0
6,247033387452659.00,105927195770177.00,175,0.000001,0
7,105927195770177.00,211811468.00,79,0.000683,0
8,105927195770177.00,211811468.00,84,0.000274,0
9,105927195770177.00,211811468.00,84,0.000019,0
10,247033387452659.00,105927195770177.00,170,0.00147,0
11,247033387452659.00,105927195770177.00,175,0.000237,0
12,247033387452659.00,105927195770177.00,175,0.000206,0
13,105927195770177.00,281474976710655.00,92,0.000527,0
14,105927195770177.00,281474976710655.00,92,0.000047,0
15,105927195770177.00,281474976710655.00,92,0.000091,0
16,105927195770177.00,1101088686332.00,72,0.000723,0
17,105927195770177.00,1101088686332.00,72,0.000004,0
18,105927195770177.00,1101088686332.00,67,0.00003,0
19,105927195770177.00,1101088686332.00,67,0.410394,0
20,105927195770177.00,1101088686332.00,72,0,0
21,105927195770177.00,1101088686332.00,72,0.000007,0
22,105927195770177.00,281474976710655.00,92,0.343572,0
23,105927195770177.00,281474976710655.00,92,0.000122,0
24,105927195770177.00,281474976710655.00,92,0.000064,0
25,105927195770177.00,211811468.00,67,0.01266,0
26,105927195770177.00,211811468.00,67,0.063599,0
27,247033387452659.00,105927195770177.00,131,0.029516,0
28,105927195770177.00,211811468.00,66,0.00092,0
29,247033387452035.00,105927195770177.00,66,0.009916,0
30,105927195770177.00,211811468.00,54,0.000135,0
31,105927195770177.00,211811468.00,430,0.000431,1
32,247033387452035.00,105927195770177.00,54,0.00927,0
33,247033387452035.00,105927195770177.00,492,0.000172,0
34,247033387452035.00,105927195770177.00,54,0.00036,0
35,105927195770177.00,211811468.00,54,0.00004,0
36,105927195770177.00,211811468.00,54,0.000169,0
37,105927195770177.00,211811468.00,71,0.002999,0
38,247033387452035.00,105927195770177.00,54,0.006266,0
39,247033387452659.00,105927195770177.00,131,0.004831,0
40,105927195770177.00,211811468.00,159,0.00004,0
41,105927195770177.00,211811468.00,71,0.050906,0
42,247033387452659.00,105927195770177.00,126,0.03001,0
43,105927195770177.00,211811468.00,66,0.000766,0
44,247033387452035.00,105927195770177.00,66,0.02156,0
45,105927195770177.00,211811468.00,54,0.000084,0
46,105927195770177.00,211811468.00,493,0.000232,1
47,247033387452035.00,105927195770177.00,54,0.021219,0
48,247033387452035.00,105927195770177.00,493,0.000162,0
49,247033387452035.00,105927195770177.00,54,0,0
50,105927195770177.00,211811468.00,54,0.000053,0
51,105927195770177.00,211811468.00,54,0.000585,0
52,105927195770177.00,211811468.00,66,0.002652,0
53,247033387452035.00,105927195770177.00,54,0.018485,0
54,247033387452035.00,105927195770177.00,66,0.008789,0
55,105927195770177.00,211811468.00,54,0.000082,0
56,105927195770177.00,211811468.00,571,0.001386,0
57,247033387452659.00,105927195770177.00,126,0.005798,0
58,247033387452035.00,105927195770177.00,54,0.020841,0
59,247033387452035.00,105927195770177.00,1514,0.001231,0
60,247033387452035.00,105927195770177.00,1514,0.000368,0
61,247033387452035.00,105927195770177.00,1514,0.000004,0
62,105927195770177.00,211811468.00,54,0.000045,0
63,247033387452035.00,105927195770177.00,1514,0.000285,0
64,247033387452035.00,105927195770177.00,717,0.000001,0
65,105927195770177.00,211811468.00,54,0.000042,0
66,105927195770177.00,211811468.00,147,0.002016,0
67,105927195770177.00,211811468.00,147,0.007419,0
68,105927195770177.00,211811468.00,359,0.001322,0
69,247033387452035.00,105927195770177.00,296,0.018228,0
